Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli O157	1045010	serogroup
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli K-12	83333	strain
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli CFT073	199310	strain
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Salmonella enterica subsp. enterica serovar Oranienburg	28147	no rank
Escherichia	561	genus
Escherichia coli O157	1045010	serogroup
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli B	37762	strain
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli K-12	83333	strain
Escherichia coli	562	species
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli K-12	83333	strain
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli BL21	511693	strain
Escherichia coli	562	species
Escherichia coli K-12	83333	strain
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli B	37762	strain
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Salmonella enterica subsp. enterica serovar Typhimurium	90371	no rank
Escherichia coli O157	1045010	serogroup
Escherichia coli str. K-12 substr. MG1655	511145	no rank
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli O157	1045010	serogroup
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia	561	genus
Escherichia coli	562	species
Escherichia coli B	37762	strain
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli K-12	83333	strain
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli O78	2072463	serogroup
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli BL21(DE3)	469008	strain
Escherichia coli BL21(DE3)	469008	strain
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli K-12	83333	strain
Escherichia coli	562	species
Escherichia coli W	566546	strain
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Salmonella enterica subsp. enterica serovar Typhimurium	90371	no rank
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli HS	331112	strain
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli HS	331112	strain
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli C	498388	strain
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Escherichia coli	562	species
Faecalibacterium prausnitzii	853	species
Faecalibacterium prausnitzii	853	species
Faecalibacterium prausnitzii	853	species
Faecalibacterium prausnitzii	853	species
Faecalibacterium prausnitzii	853	species
Faecalibacterium prausnitzii	853	species
Faecalibacterium prausnitzii	853	species
Faecalibacterium prausnitzii	853	species
Flavobacterium	237	genus
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium columnare	996	species
Flavobacterium columnare	996	species
Flavobacterium	237	genus
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium psychrophilum	96345	species
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Flavobacterium	237	genus
Fusobacterium nucleatum subsp. polymorphum ATCC 10953	393480	strain
Fusobacterium nucleatum	851	species
Geobacillus kaustophilus	1462	species
Geobacillus	129337	genus
Geobacillus stearothermophilus	1422	species
Parageobacillus thermoglucosidasius	1426	species
Gluconobacter	441	genus
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia alkanivorans	84096	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia	2053	genus
Gordonia	2053	genus
Gordonia	2053	genus
Gordonia	2053	genus
Gordonia	2053	genus
Gordonia	2053	genus
Gordonia	2053	genus
Gordonia terrae	2055	species
Gordonia	2053	genus
Gordonia	2053	genus
Gordonia rubripertincta	36822	species
Gordonia rubripertincta	36822	species
Gordonia	2053	genus
Nocardia otitidiscaviarum	1823	species
Rhodococcus erythropolis	1833	species
Gordonia terrae	2055	species
Rhodococcus globerulus	33008	species
Nocardia brasiliensis	37326	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Nocardia asteroides	1824	species
Gordonia terrae	2055	species
Nocardia nova	37330	species
Gordonia amicalis	89053	species
Gordonia	2053	genus
Gordonia	2053	genus
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Rhodococcus erythropolis	1833	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia	2053	genus
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia	2053	genus
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia rubripertincta	36822	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Gordonia terrae	2055	species
Aggregatibacter actinomycetemcomitans	714	species
Glaesserella parasuis	738	species
Haemophilus influenzae	727	species
Haemophilus influenzae	727	species
Haloarcula	2237	genus
Haloarcula hispanica	51589	species
Haloarcula hispanica	51589	species
Haloarcula hispanica ATCC 33960	634497	strain
Haloarcula hispanica	51589	species
Haloarcula hispanica	51589	species
Haloarcula hispanica ATCC 33960	634497	strain
Haloarcula hispanica	51589	species
Halobacterium salinarum	2242	species
Halobacterium salinarum R1	478009	strain
Halobacterium salinarum	2242	species
Haloferax	2251	genus
Halogeometricum	60846	genus
Halomonas	2745	genus
Halorubrum	56688	genus
Halorubrum	56688	genus
Halorubrum	56688	genus
Halorubrum sp. PV6	634157	species
Halorubrum	56688	genus
Halorubrum	56688	genus
Halorubrum	56688	genus
Halorubrum	56688	genus
Halorubrum	56688	genus
Halorubrum	56688	genus
Halorubrum	56688	genus
Halorubrum	56688	genus
Halorubrum	56688	genus
Haloarcula	2237	genus
Haloarcula	2237	genus
Haloarcula	2237	genus
Haloferacaceae	1644056	family
Haloarcula hispanica	51589	species
Haloarcula hispanica	51589	species
Halorubrum	56688	genus
Haloarcula sinaiiensis	35742	species
Halorubrum sodomense	35743	species
Haloarcula	2237	genus
Nanohaloarchaea	1051663	class
Escherichia coli	562	species
Helicobacter pylori	210	species
Helicobacter pylori	210	species
Helicobacter pylori F32	102608	strain
Helicobacter pylori 35A	585535	strain
Helicobacter pylori F16	866344	strain
Helicobacter pylori F30	866345	strain
Helicobacter pylori F57	866346	strain
Helicobacter pylori	210	species
Helicobacter pylori	210	species
Haloarcula hispanica	51589	species
Haloarcula hispanica	51589	species
Idiomarinaceae	267893	family
Idiomarinaceae	267893	family
Iodobacter	32014	genus
Klebsiella	570	genus
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella	570	genus
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae subsp. ozaenae	574	subspecies
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae subsp. pneumoniae	72407	subspecies
Klebsiella	570	genus
Klebsiella	570	genus
Klebsiella	570	genus
Klebsiella	570	genus
Klebsiella oxytoca	571	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	484021	strain
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae subsp. pneumoniae	72407	subspecies
Klebsiella oxytoca	571	species
Klebsiella pneumoniae subsp. pneumoniae KPNIH1	1087440	strain
Klebsiella pneumoniae	573	species
Klebsiella oxytoca	571	species
Klebsiella pneumoniae KCTC 2242	1049565	strain
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae subsp. pneumoniae	72407	subspecies
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella	570	genus
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Klebsiella pneumoniae	573	species
Kluyvera	579	genus
Levilactobacillus brevis	1580	species
Levilactobacillus brevis	1580	species
Lacticaseibacillus casei	1582	species
Lactiplantibacillus plantarum	1590	species
Lactiplantibacillus plantarum	1590	species
Lactiplantibacillus plantarum	1590	species
Lacticaseibacillus rhamnosus	47715	species
Lactiplantibacillus plantarum	1590	species
Lactobacillus delbrueckii subsp. bulgaricus	1585	subspecies
Lacticaseibacillus paracasei	1597	species
Lacticaseibacillus paracasei	1597	species
Lacticaseibacillus paracasei	1597	species
Lactiplantibacillus plantarum	1590	species
Lacticaseibacillus paracasei	1597	species
Lacticaseibacillus paracasei	1597	species
Lacticaseibacillus paracasei	1597	species
Lactobacillus delbrueckii subsp. lactis	29397	subspecies
Lactobacillus gasseri	1596	species
Levilactobacillus brevis ATCC 367	387344	strain
Levilactobacillus brevis	1580	species
Lacticaseibacillus rhamnosus	47715	species
Lactobacillus delbrueckii	1584	species
Lactobacillus delbrueckii	1584	species
Lactobacillus delbrueckii	1584	species
Lactobacillus delbrueckii subsp. lactis	29397	subspecies
Lactiplantibacillus plantarum	1590	species
Lactobacillus	1578	genus
Limosilactobacillus fermentum	1613	species
Limosilactobacillus fermentum	1613	species
Lacticaseibacillus casei	1582	species
Lactobacillus delbrueckii subsp. lactis	29397	subspecies
Lactobacillus delbrueckii subsp. lactis	29397	subspecies
Lactiplantibacillus plantarum	1590	species
Lactiplantibacillus plantarum	1590	species
Lactiplantibacillus pentosus	1589	species
Lactiplantibacillus plantarum	1590	species
Lacticaseibacillus rhamnosus	47715	species
Lactobacillus jensenii	109790	species
Lactiplantibacillus plantarum	1590	species
Lactiplantibacillus plantarum	1590	species
Lactiplantibacillus plantarum	1590	species
Lactobacillus gasseri	1596	species
Lactobacillus gasseri	1596	species
Lactobacillus helveticus	1587	species
Lacticaseibacillus casei	1582	species
Lactiplantibacillus plantarum	1590	species
Lactobacillus delbrueckii	1584	species
Limosilactobacillus fermentum	1613	species
Lacticaseibacillus paracasei	1597	species
Lacticaseibacillus casei	1582	species
Lacticaseibacillus casei	1582	species
Levilactobacillus brevis	1580	species
Levilactobacillus brevis	1580	species
Lactiplantibacillus plantarum	1590	species
Lactiplantibacillus plantarum	1590	species
Lactobacillus	1578	genus
Lacticaseibacillus paracasei	1597	species
Lactobacillus delbrueckii subsp. lactis	29397	subspecies
Lactobacillus johnsonii	33959	species
Lactobacillus johnsonii	33959	species
Lactobacillus johnsonii	33959	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis subsp. lactis bv. diacetylactis	44688	no rank
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus cremoris	1359	species
Lactococcus lactis subsp. lactis	1360	subspecies
Lactococcus lactis subsp. lactis Il1403	272623	strain
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis subsp. lactis Il1403	272623	strain
Lactococcus lactis subsp. lactis Il1403	272623	strain
Lactococcus lactis subsp. lactis Il1403	272623	strain
Lactococcus lactis subsp. lactis Il1403	272623	strain
Lactococcus lactis subsp. lactis Il1403	272623	strain
Lactococcus lactis subsp. lactis Il1403	272623	strain
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus cremoris	1359	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus garvieae	1363	species
Lactococcus lactis	1358	species
Lactococcus cremoris	1359	species
Lactococcus cremoris	1359	species
Lactococcus cremoris	1359	species
Lactococcus cremoris	1359	species
Lactococcus lactis subsp. lactis Il1403	272623	strain
Lactococcus cremoris	1359	species
Lactococcus cremoris	1359	species
Lactococcus cremoris	1359	species
Lactococcus cremoris	1359	species
Lactococcus cremoris	1359	species
Lactococcus cremoris	1359	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis subsp. lactis bv. diacetylactis	44688	no rank
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus lactis subsp. lactis	1360	subspecies
Lactococcus lactis subsp. lactis Il1403	272623	strain
Lactococcus lactis	1358	species
Lactococcus lactis	1358	species
Lactococcus	1357	genus
Lactococcus	1357	genus
Lactococcus cremoris	1359	species
